,Type,Metal,Ligand,Synthesis method,Solvent,Physical state,Oxidation number,Reaction Time (h),SSA (m2/g),Pore size (nm),pore volume (cm3/g),CO2 adsorption capacity (mmol/g),CO2 selectivity percentage,Adsorption Temp (K),Adsorption pressure (bar),filename,Group,SuperGroup,0,1,unit,mean
434,ZIF-90,Zn,Imidazolate,solvothermal,DMF,solid,,18.0,1328.0,,,,61.8,,,198.pdf,ZIF-90,ZIF,,,,
435,ZIF-7,Zn,C7H6N2,solvent/static recrystallization,DMF,solid,2.0,7.0,,,,,,,,199.pdf,ZIF-7,ZIF,,,,
436,ZIF-Fe30,"Fe, Zn",C7H6N2,post-impregnation,H2O,solid,,24.0,,,,,,,,199.pdf,ZIF-Fe30,ZIF,,,,
437,C-Fe30,Fe,,pyrolysis,,solid,,2.0,,,,,,,,199.pdf,C-Fe30,C-Fe30,,,,
438,C-Fe30-N15/30,Fe,,pyrolysis in nh3,,solid,,30.0,,,,,,,,199.pdf,C-Fe30-N15/30,C-Fe30-N15/30,,,,
439,C-Fe30-N15/60,Fe,,pyrolysis in nh3,,solid,,60.0,,,,,,,,199.pdf,C-Fe30-N15/60,C-Fe30-N15/60,,,,
440,C-Fe30-N30/30,Fe,,pyrolysis in nh3,,solid,,30.0,,,,,,,,199.pdf,C-Fe30-N30/30,C-Fe30-N30/30,,,,
441,C-Fe30-A30/30,Fe,,pyrolysis in ar,,solid,,30.0,,,,,,,,199.pdf,C-Fe30-A30/30,C-Fe30-A30/30,,,,
442,ZIF-8-90,Zn,2-methylimidazole,one-step method under solventless condition,MeOH,solid,,24.0,1437.0,,0.57,3.4,,273.0,1.0,200.pdf,ZIF-8,ZIF,,,,
443,Zn-URJC-8,Zn,NH2-BDC,solvothermal,DMF/H2O,solid,,72.0,,0.35,,1.28,,298.0,12.0,201.pdf,Zn-URJC-8,Zn-URJC-8,,,,
444,ZIF-67,Co,2-methylimidazole,water-mediated one-pot synthesis,H2O,solid,,2.0,1374.0,,,,,,,202.pdf,ZIF-67,ZIF,,,,
445,CPO-27-Mg,Mg,H4doBDC,hydrothermal,THF,composite,2.0,3.0,416.81,1.15,,4.755509949138931,,273.0,,203.pdf,CPO-27-Mg,CPO-27-Mg,,,,
446,Zn-MOF nanosheets,Zn,H4TCPP,sonication and heating,DEF/DMF/EtOH,nanosheets,,16.0,445.0,,,4.631034175069153,81.5,,,204.pdf,Zn-MOF nanosheets,MOF,,,,
447,Zn-MOF bulk,Zn,H4TCPP,,,bulk,,,295.0,,,2.672436869813509,67.9,,,204.pdf,Zn-MOF bulk,MOF,,,,
448,UIO-66-NH2/GR,Zr,NH2-BDC,microwave irradiation induced synthesis,DMF,powder,,40.0,791.2,2.1,,3.2568930132952616,78.6,273.0,1.013251,205.pdf,UIO-66-NH2/GR,Gr@,,,,
449,Ni3(HITP)2,Ni,HITP,sonication,Acetonitrile,solid,,2.0,630.0,,,,97.0,277.0,0.8,206.pdf,Ni3(HITP)2,Ni3(HITP)2,,,,
450,Zn20Fe1-ZIF,"Zn, Fe",2-methylimidazole,hydrothermal,MeOH,nanocrystals,2.0,24.0,,7.0,,,,,,207.pdf,Zn20Fe1-ZIF,ZIF,,,,
451,FeSAs/CNF-900,Fe,,pyrolysis,Aratmosphere,mesoporous carbon nanoframes,,3.0,1164.6,10.0,,,86.9,,,207.pdf,FeSAs/CNF-900,FeSAs/CNF-900,,,,
452,[SnIV(TPP)(ClO4)2],Sn,TPP,catalytic coupling,DMF,solid,4.0,5.0,,,,,,,,208.pdf,[SnIV(TPP)(ClO4)2],[SnIV(TPP)(ClO4)2],,,,
453,MIL-53 (Al),Al,,,,,3.0,,1294.0,,,2.11,,320.0,,209.pdf,MIL-53,MIL,,,,
454,Zn 4 O-MOF,Zn,,,,,2.0,,,,,,,,,209.pdf,Zn 4 O-MOF,MOF,,,,
455,MIL-101 (Cr),Cr,,,,,3.0,,3324.0,2.52,,2.52,,320.0,,209.pdf,MIL-101,MIL,,,,
456,JLU-MOF58,,,,,,,,3663.0,,,49.0,,,,209.pdf,JLU-MOF58,MOF,,,,
457,M@COF-0.05,Zr,"1,3,5-tris(4-formylphenyl)benzene",one-pot method,n/BuOH/1/3/5/trimethylbenzene,,4.0,3.0,498.0,,,4.53,,273.0,1.0,210.pdf,M@COF-0.05,M@COF-0.05,,,,
458,M@COF-0.15-Br,Zr,"1,3,5-tris(4-formylphenyl)benzene",one-pot method and post-synthetic modification,aceticacid,,4.0,12.0,,,,,,,,210.pdf,M@COF-0.15-Br,M@COF-0.15-Br,,,,
459,F-Mn-MOF-74,Mn,H4doBDC,hydrothermal,DMF,crystalline,2.0,24.0,20.83,,,,,,,211.pdf,MOF-74,MOF,,,,
460,Mg 2(dobdc),Mg,H4doBDC,hydrothermal,DMF/EtOH/H2O,solid,2.0,20.0,780.46,,0.21,2.67,,333.0,1.0132511,212.pdf,Mg 2(dobdc),Metal/dobdc,,,cm3,
461,TEPA-Mg/DOBDC-30,Mg,H4doBDC,post-synthetic modification,anhydrousToluene,solid,2.0,12.0,312.63,,0.19,4.49,,333.0,,212.pdf,TEPA-Mg/DOBDC-30,Metal/dobdc,,,cm3,
462,TEPA-Mg/DOBDC-40,Mg,H4doBDC,post-synthetic modification,anhydrousToluene,solid,2.0,12.0,132.24,,0.15,6.06,,333.0,,212.pdf,TEPA-Mg/DOBDC-40,Metal/dobdc,,,cm3,
463,TEPA-Mg/DOBDC-50,Mg,H4doBDC,post-synthetic modification,anhydrousToluene,solid,2.0,12.0,23.54,,0.05,3.48,,333.0,,212.pdf,TEPA-Mg/DOBDC-50,Metal/dobdc,,,cm3,
464,C60@MOF-545-Co,Co,H4TCPP,one-pot impregnation,Carbonbisulfide(CS2),solid,,8.0,1106.0,,,1.1599892924065316,97.0,298.0,1.01325,213.pdf,C60@MOF-545,MOF,,,,
465,C70@MOF-545-Co,Co,H4TCPP,one-pot impregnation,Carbonbisulfide(CS2),solid,,8.0,,,,,91.1,,,213.pdf,C70@MOF-545,MOF,,,,
466,F-IRMOF-3,Zn,NH2-BDC,solventless synthesis,DMF,solid,2.0,1.5,132.0,,,40.0,,,20.0,214.pdf,IRMOF-3,IRMOF,,,,
467,Zn-ZIF-L,Zn,2-methylimidazole,pyrolysis and oxidation treatment,H2O,solid,,6.0,15.0,0.94,,,100.0,343.0,1.0,215.pdf,Zn-ZIF-L,ZIF,,,,
468,ZIF-8,Zn,Imidazole,pyrolysis and oxidation treatment,H2O,solid,,6.0,175.0,,,,100.0,,,215.pdf,ZIF-8,ZIF,,,,
469,Cr-Soc-MOF-1,Cr,"3,3∕,5,5∕-tetrakis-(4-carboxyphenyl) –p-terphenyl [H4TCPT]",,,,3.0,,5544.9,1.87,2.31,20.0,,298.0,10.0,216.pdf,MOF-1,MOF,,,,
470,Cr-Soc-MOF-2,Cr,"3∕,3∕∕,5∕,5∕∕-tetrakis-(4-carboxyphenyl)-1,4-diphenylnaphthalene [H4TCDPN]",,,,3.0,,5474.1,1.58,2.2,15.0,,298.0,10.0,216.pdf,Cr-Soc-MOF-2,MOF,,,,
471,Cr-Soc-MOF-3,Cr,"3∕,3∕∕,5∕,5∕∕-tetrakis-(4-carboxyphenyl)-9,10-diphenylanthracene [H4TCDPA]",,,,3.0,,5582.3,1.68,2.3,,,298.0,10.0,216.pdf,Cr-Soc-MOF-3,MOF,,,,
472,Cr-Soc-MOF-4,Cr,"4,4∕,4∕∕,4∕∕’-(1,2,4,5-tetrazine-3,6-diyl)-bis-(pyridine-4,2,6-triyl)-tetrabenzoate [H4TPT]",,,,3.0,,5367.3,1.86,2.32,16.36,,298.0,10.0,216.pdf,Cr-Soc-MOF-4,MOF,,,,
473,Cr-Soc-MOF-5,Cr,"3,3∕,5,5∕-azobenzenetetracarboxylate [H4ABTC]",,,,3.0,,3833.1,1.02,0.73,10.98,,298.0,10.0,216.pdf,MOF-5,MOF,,,,
474,UiO-66,Zr,H2BDC,solvothermal,DMF,solid,4.0,24.0,1434.0,0.9,0.65,79.0,,273.0,1.01325,217.pdf,UiO-66,UiO,,,cm3,
475,MOF-5-MIX,Zn,H2BDC,hydrothermal,DMF,solid,2.0,24.0,357.0,,,0.58,,298.0,12.0,218.pdf,MOF-5,MOF,,,,
476,MOF-5,Zn,H2BDC,hydrothermal,DMF,solid,2.0,24.0,950.0,,,1.3206031944320513,,298.0,12.0,218.pdf,MOF-5,MOF,,,,
477,MOF-5-NH2,Zn,H2BDC,hydrothermal,DMF,solid,2.0,24.0,470.0,,,2.534130454180423,,298.0,12.0,218.pdf,MOF-5,MOF,,,,
478,MOF-5-OH,Zn,H2BDC,hydrothermal,DMF,solid,2.0,24.0,337.0,,,0.9458374230391718,,298.0,12.0,218.pdf,MOF-5,MOF,,,,
479,MOF-74-Ni,Sc,H4doBDC,solvent-assisted synthesis,DMF/EtOH/H2O,nanoparticles,2.0,6.0,570.0,,,,,,,219.pdf,MOF-74,MOF,,,,
480,UiO-66-NH2,Zr,NH2-H2BDC,solvent-assisted synthesis,DMF/H2O,nanoparticles,4.0,24.0,498.0,,,,,,,219.pdf,UiO-66,UiO,,,,
481,UiO-67,Zr,"4,4'-biphenyldicarboxylate acid (BPDC)",microwave-assisted,DMF,solid,4.0,2.5,2547.0,1.6,0.86,17.0,,298.0,20.0,220.pdf,UiO-67,UiO,,,,
482,"MIL-101(Cr, Mg)","Cr, Mg",H2BDC,hydrothermal,DMF/H2O/EtOH,powder,,8.0,3274.0,0.5,1.61,2.0,,298.0,1.0,221.pdf,MIL-101,MIL,,,,
483,"PEI-MIL-101(Cr, Mg)","Cr, Mg",H2BDC,wet impregnation method,MeOH,powder,,12.0,128.412,0.5,,3.04,,301.0,1.0,221.pdf,MIL-101,MIL,,,,0.1335
484,Co/ZIF-8,"Co, Zn",2-methylimidazole,soft template method,DeepEutecticSolvent(ChCl/Urea),solid,2.0,8.0,987.0,3.5,0.62,,,,,222.pdf,ZIF-8,ZIF,,,,
485,UiO-66(Zr)-(OH)2,Zr,H2BDC,microwave-assisted continuous-flow synthesis,DMF,solid,4.0,10.0,1410.0,0.52,0.87,6.23,,25.0,1.0,223.pdf,UiO-66,UiO,,,cm3,
486,[SnIV(TPP)(OTf)2],Sn,TPP,catalytic system with co-catalyst tbpb,DMF,liquid,4.0,3.0,,,,,,,1.013251,224.pdf,[SnIV(TPP)(OTf)2],[SnIV(TPP)(OTf)2],,,,
487,Ni(II)-MOF-1,Ni,H3BTC,solvothermal assembly,DMF,,,,,0.96,,9.8,,273.0,1.0,225.pdf,MOF-1,MOF,,,,
488,JLNU-99,Zn,"[bbi, H2tdc]",reaction of flexible and rigid ligands,5nH2O,solid,,12.0,,,,,,,,226.pdf,JLNU-99,JLNU-99,,,,
489,ZIF-8,Zn,2-methylimidazole,solvothermal,MeOH,solid,2.0,0.5,,1.16,,,,,,227.pdf,ZIF-8,ZIF,,,,
490,UiO-66,Zr,H2BDC,solvothermal,DMF,three-dimensional porous material,,,,,,79.0,80.9,,1.01325,228.pdf,UiO-66,UiO,,,,
491,ZIF-67,Co,,microwave-assisted synthesis,,three-dimensional porous material,2.0,,1725.0,,,,,,,228.pdf,ZIF-67,ZIF,,,,
492,MIL-101(Fe),Fe,H2BDC,solvothermal,,,3.0,,,,,,,,,228.pdf,MIL-101,MIL,,,,
493,PCN-777,Cu,tribenzoate,,,porous coordination network,1.0,,,,,,,,,228.pdf,PCN-777,PCN,,,,
494,Ru(II)(TPP)(PPh3)2,Ru,"TPP, PPh3",metalation of free-base porphyrin with rucl3,,,,4.0,,,,,,,6.67,229.pdf,Ru(II)(TPP)(PPh3)2,Ru(II)(TPP)(PPh3)2,,,,
495,Ru(III)(TPP)(PPh3)Cl,Ru,"TPP, PPh3, Cl",metalation of free-base porphyrin with rucl3,,,,4.0,,,,,,,6.67,229.pdf,Ru(III)(TPP)(PPh3)Cl,Ru(III)(TPP)(PPh3)Cl,,,,
496,Co(III)(TTMAPP)I4(OAc),Co,H3BTC,reflux in water with co-catalyst,Solvent/free/MeOH,,,5.0,,,,,,,6.67,230.pdf,Co(III)(TTMAPP)I4(OAc),Co(III)(TTMAPP)I4(OAc),,,,
497,Fe(III)(TTMAPP)I4(OAc),Fe,H3BTC,,,,,15.0,,,,,,,,230.pdf,Fe(III)(TTMAPP)I4(OAc),Fe(III)(TTMAPP)I4(OAc),,,,
498,Mn(III)(TTMAPP)I4(OAc),Mn,H3BTC,,,,,5.0,,,,,,,,230.pdf,Mn(III)(TTMAPP)I4(OAc),Mn(III)(TTMAPP)I4(OAc),,,,
499,Cr(III)(TTMAPP)I4(Cl),Cr,H3BTC,reflux in dmf,DMF,,,24.0,,,,,,,,230.pdf,Cr(III)(TTMAPP)I4(Cl),Cr(III)(TTMAPP)I4(Cl),,,,
500,CuTrp,Cu,L-tryptophan,direct mixing,MeOH,solid,,6.0,4.2,,,,,,,231.pdf,CuTrp,CuTrp,,,,
501,Chiral basket-handle porphyrin-Co complex,Co,"Chiral group of (R)-2,2'-dihydroxyl[1,1']binaphthalenyl-3,3'-dicarbaldehyde",catalytic synthesis,CH2Cl2,solid,,3.0,,,,,,,1.01325,232.pdf,Chiral basket-handle porphyrin-Co complex,Chiral basket-handle porphyrin-Co complex,,,,
502,IRMOF-3,Zn,NH2-BDC,solution-based direct mixing,DEF(DMF),solid,2.0,,981.4285,,0.5,1.39,,298.15,1.0,233.pdf,IRMOF-3,IRMOF,,,cm3,
503,AMP@IRMOF-3 (25 wt%),Zn,NH2-BDC,post-synthetic functionalization,Toluene,solid,2.0,12.0,970.5962,,0.47,1.66,,298.15,1.0,233.pdf,IRMOF-3,IRMOF,,,cm3,
504,AMP@IRMOF-3 (50 wt%),Zn,NH2-BDC,post-synthetic functionalization,Toluene,solid,2.0,12.0,965.3526,,0.44,2.67,,298.15,1.0,233.pdf,IRMOF-3,IRMOF,,,cm3,
505,AMP@IRMOF-3 (75 wt%),Zn,NH2-BDC,post-synthetic functionalization,Toluene,solid,2.0,12.0,962.5694,,0.39,3.9,,298.15,1.0,233.pdf,IRMOF-3,IRMOF,,,cm3,
506,Ni@Ru-UiO-67,Ni,bpet,ship-in-a-bottle,Acetonitrile,composite,,20.0,1210.0,,,,,,,234.pdf,Ni@Ru-UiO-67,UiO,,,,
507,CoCp2@MOF-545-Co,Co,H4TCPP,chemical vapor deposition,DMF/acetone,solid,,15.0,663.0,0.36,,1.0662978495583115,97.0,273.0,1.01325,235.pdf,CoCp2@MOF-545,MOF,,,,
508,MOF-545-Co,Co,H4TCPP,conventional solvothermal,DMF/acetone,solid,,20.0,2126.0,1.6,,2.141518693673597,54.6,,,235.pdf,MOF-545,MOF,,,,
509,MOF-545-Fe,Fe,Fe-H4TCPP,conventional solvothermal,DMF/acetone,solid,,20.0,,,,,9.4,,,235.pdf,MOF-545,MOF,,,,
510,MOF-545-Ni,Ni,Ni-H4TCPP,conventional solvothermal,DMF/acetone,solid,,20.0,,,,,14.1,,,235.pdf,MOF-545,MOF,,,,
511,ZIF-22,Zn,5-azabenzimidazole (azb),chemical,none,solid,2.0,2.0,,,,,,,,236.pdf,ZIF-22,ZIF,,,,
512,ZIF-95,Zn,5-chlorobenzimidazole (cbIM),solvothermal,DMF,solid,2.0,24.0,1170.0,0.46,0.41,,,,,237.pdf,ZIF-95,ZIF,,,cm3,
513,Zn-ZIF-67,"Zn, Co",2-methylimidazole,solvothermal,H2O,solid,,24.0,1881.0,1.58,0.63,1.8662443115909697,99.0,373.0,7.0,238.pdf,ZIF-67,ZIF,,,,
514,ZIF-78,Zn,imidazolate,hydrothermal,DMF,solid,2.0,15.0,,,,,,,1.0132511,239.pdf,ZIF-78,ZIF,,,,
515,ZIF-71,Zn,"4,5-dichloroimidazole",room temperature synthesis,EtOH,solid,,24.0,,0.42,,,99.0,,,240.pdf,ZIF-71,ZIF,,,,
516,HKUST-1,Cu,H3BTC,solvent-less,MeOH,solid,,48.0,1559.0,,,,,,,241.pdf,HKUST-1,HKUST,,,,
517,CAU-17,Bi,H3BTC,microwave synthesis,MeOH,solid,,20.0,1197.0,,,,,,,241.pdf,CAU-17,CAU-17,,,,
518,Zn-Ni bi-metal MOFs,"Zn, Ni",2-methylimidazole,ultrasonic assisted synthesis,MeOH(MeOH/C1H3OH),,,20.0,681.3,1.4,,,95.1,,,242.pdf,Zn-Ni bi-metal MOFs,MOF,,,,
519,Zn-BTC,Zn,H3BTC,in-situ growth method,DMF/EtOH,solid,2.0,12.0,420.3,,,,,,,243.pdf,Zn-BTC,Metal/BTC,,,,
520,CA-LD,"Cu, Al",,hydrothermal,DIH2O,solid,2.0,8.0,44.8,,,,,,,243.pdf,CA-LD,CA-LD,,,,
521,Zn(Py)(Atz),Zn,"3-amino-1,2,4-triazole (HAtz) and 3,5-pyridinedicarboxylic acid (H2Py)",solvothermal crystallization,DMF/H2O,crystal,,72.0,764.5,0.57,0.32,2.333363076648523,98.0,273.0,1.01325,244.pdf,Zn(Py)(Atz),Zn(Py)(Atz),,,cm3,
522,PCN-777,Zr,,coordination bond,MeOH,,,12.0,,3.5,,0.23,,298.0,0.1519875,245.pdf,PCN-777,PCN,,,,
523,PEI(20%)@P777,Zr,PEI,loading polymer onto mof,,,,,,3.5,,0.53,,298.0,0.1519875,245.pdf,PEI(20%)@P777,PEI(20%)@P777,,,,
524,PS(20%)@P777,Zr,PS,loading polymer onto mof,,,,,,3.5,,0.15,,298.0,0.1519875,245.pdf,PS(20%)@P777,PS(20%)@P777,,,,
525,TAL-33,Bi,"1H-benzo[d]imidazole-5,6-diol",carbonization,25%aq.NH3/DMF/EtOH/H2O,solid,3.0,24.0,123.0,,,,,,,246.pdf,TAL-33,TAL-33,,,,
526,MOF-177,Zn,H3BTB,hydrothermal,DEF,solid,2.0,3.0,2784.0,1.8,1.34,1.12,,298.0,1.0,247.pdf,MOF-177,MOF,,,,
527,MOF-177-TEPA-20%,Zn,H3BTB,wet impregnation,AnhydrousChloroform,pellet,2.0,4.0,322.0,,0.33,4.6,,328.0,1.0,247.pdf,MOF-177-TEPA-20%,MOF,,,,
528,MOF-177-TEPA-20%,Zn,H3BTB,wet impregnation,DEF,pellet,2.0,3.0,585.0,1.8,0.33,4.6,,328.0,1.0,248.pdf,MOF-177-TEPA-20%,MOF,,,cm3,
529,MOF-177-PEI-20%,Zn,H3BTB,wet impregnation,DEF,powder,2.0,3.0,375.0,,,2.8,,298.0,1.0,248.pdf,MOF-177-PEI-20%,MOF,,,,
530,MOF-177-DETA-20%,Zn,H3BTB,wet impregnation,DEF,powder,2.0,3.0,855.0,,,,,298.0,1.0,248.pdf,MOF-177-DETA-20%,MOF,,,,
531,Mg2(dobdc),Mg,H4doBDC,,,,,,,,,,,25.0,1.0132511,249.pdf,Mg2(dobdc),Metal/dobdc,,,,
532,mmen-Mg2(dobpdc),Mg,H4dopdc,,,,,,,,,,,25.0,1.0132511,249.pdf,mmen-Mg2(dobpdc),Metal/dobpdc,,,,
533,MIL-101(Cr),Cr,H4BDC,,,,,,,,,,,25.0,1.0132511,249.pdf,MIL-101,MIL,,,,
534,ZIF-8,,,,,,,,,,,,,,,250.pdf,ZIF-8,ZIF,,,,
535,ZIF-9,Co,,,,,2.0,,,,,,,,,250.pdf,ZIF-9,ZIF,,,,
536,ZIF-69,Zn,H2BDC,secondary growth,IL,membrane,2.0,,,,,,,,2.0,251.pdf,ZIF-69,ZIF,,,,
537,ZIF-62,Zn,H2BDC,melt-quenching,,glass membrane,2.0,,,,,,,,1.0,251.pdf,ZIF-62,ZIF,,,,
538,1 wt%Ru/UiO-66,Ru,,impregnation and heat-treatment,,amorphous,4.0,16.0,60.0,,,,,,,252.pdf,UiO-66,UiO,,,,
539,MDC_80H2/CO2,Ru,,thermal reduction in h2/co2,,tetragonal and monoclinic zro2,0.0,100.0,60.0,,,,,,,252.pdf,MDC_80H2/CO2,MDC_80H2/CO2,,,,
540,MIL-53(Al),Al,H2BDC,solvothermal,DMF,solid,3.0,3.0,1170.0,,1.34,,,,,253.pdf,MIL-53,MIL,,,cm3,
541,NH2-MIL-53(Al),Al,NH2-BDC,solvothermal,DMF,solid,3.0,3.0,872.0,,0.45,,,,,253.pdf,MIL-53,MIL,,,cm3,
542,A-MIL-53(Al),Al,,functionalization,EtOH,solid,3.0,48.0,138.0,,0.18,,,,,253.pdf,MIL-53,MIL,,,cm3,
543,ZIF-67,Co,2-methylimidazole,microwave-assisted solvent-free,,solid,2.0,30.0,1120.0,1.3,0.52,,,,,254.pdf,ZIF-67,ZIF,,,,
544,MIL-101-tzmOH-Br,Cr,"1,2,3-triazolium",click chemistry,Toluene,,,6.0,1225.0,,,,100.0,273.0,10.0,255.pdf,MIL-101,MIL,,,,
545,MIL-101-tzm-Br,Cr,"1,2,3-triazolium",click chemistry,Toluene,,,6.0,1395.0,,,,100.0,273.0,10.0,255.pdf,MIL-101,MIL,,,,
546,NH2-MIL-53(Al),Al,NH2-BDC,colloidal assembly followed by solvothermal treatment,DMF,nanoporous crystalline solid,3.0,3.0,,0.75,,66.47,,273.0,,256.pdf,MIL-53,MIL,,,,
547,UiO-66,Zr,H2BDC,solvothermal,DMF,solid,4.0,48.0,1610.5,,,1.7132149549388773,,293.0,,257.pdf,UiO-66,UiO,,,,
548,UiO-66/CNNS,Zr,H2BDC,electrostatic self-assembly,H2O,solid,4.0,24.0,1315.3,,,1.458909610065138,,293.0,,257.pdf,UiO-66,UiO,,,,
549,UiO-66/bulk CN,Zr,H2BDC,electrostatic self-assembly,H2O,solid,4.0,24.0,1340.9,,,1.6016775229767108,,293.0,,257.pdf,UiO-66,UiO,,,,
550,mesoCu@Al-bpydc,Cu,bpydc,wet-impregnation,,solid,2.0,,584.0,7.0,,,,298.0,,258.pdf,mesoCu@Al-bpydc,mesoCu@Al-bpydc,,,,
551,bio-MOF-11,Co,"adeninate, acetate",solvothermal,DMF,solid,2.0,24.0,1040.0,0.52,0.45,4.1,,273.0,1.0,259.pdf,bio-MOF-11,MOF,,,cm3,
552,UiO-bpy,Cu/ZnO x,"2,2'-bipyridine-5,5'-dicarboxylate (bpydc)",solvothermal,THF,,0.0,,324.3,1.6,,,,523.0,40.0,260.pdf,UiO-bpy,UiO,,,,
553,NH2-MIL-125(Ti),Ti,H2ATA,ligand substitution,MeCN,solid,4.0,10.0,1302.0,,,5.898099402159364,,273.0,1.01325,261.pdf,MIL-125,MIL,,,,
554,Ag@MIL-101,Ag,,impregnation-reduction method,DMF,,,15.0,,3.15,,1.4598954783003864,,298.0,1.01325,262.pdf,MIL-101,MIL,,,,
555,MIL-101,Cr,,modified procedure,DMF,solid,,68.0,2610.0,,1.46,,,,1.01325,263.pdf,MIL-101,MIL,,,,
556,PCN-333,,,similar procedure to mil-101,,solid,,96.0,,,,,,,1.01325,263.pdf,PCN-333,PCN,,,,
557,nan,Pd,"P,P=Oligand",cross-coupling,Toluene,,0.0,48.0,,,,,,,,264.pdf,nan,,,,,
558,Mg2(dobpdc),Mg,"H4dopdc4- (4,4'-dioxidobiphenyl-3,3'-dicarboxylate)",,,highly crystalline powder,2.0,,,,,2.0,,333.0,0.0525,265.pdf,Mg2(dobpdc),Metal/dobpdc,,,,
559,Zn(imPim) (MAF-stu-1),Zn,"2-(1H-imidzol-2-yl)-3H-imidazo[4,5-c]pyridine",solvothermal and rapid synthesis,,,,,,0.45,0.26,5.18,,298.0,0.1452,266.pdf,Zn(imPim) (MAF-stu-1),Zn(imPim) (MAF-stu-1),,,,
560,PCN-221(F e0.2),Fe,,sequential deposition route,DMF/EtOH,solid,2.0,10.0,,2.0,,,,,,267.pdf,PCN-221(F e0.2),PCN,,,,
561,MAPbI3@PCN-221(F e0.2),Fe,,sequential deposition route,ethylacetatewithH2O,solid,,25.0,,2.0,,,34.0,,,267.pdf,MAPbI3@PCN-221(F e0.2),PCN,,,,
562,[Co 5(µ3-OH) 2(aip) 4(H2O)2] (MUF-17),Co,aip,reflux method,,solid,,,,0.47,,2.5,,,1.0132511,268.pdf,[Co 5(µ3-OH) 2(aip) 4(H2O)2] (MUF-17),[Co 5(µ3-OH) 2(aip) 4(H2O)2] (MUF-17),,,,
563,[Cu 2(BPDC) 2(H2O)2]·5.6H2O·DMA,Cu,BPDC,,,solid,,,,,,8.6,,,1.0132511,268.pdf,[Cu 2(BPDC) 2(H2O)2]·5.6H2O·DMA,[Cu 2(BPDC) 2(H2O)2]·5.6H2O·DMA,,,,
564,Cu-OATA,Cu,OATA,,,solid,,,,,,6.2,,,1.0132511,268.pdf,Cu-OATA,Cu-OATA,,,,
565,{[PbZn(L) 2]·DMA·H2O}n (HMOF),"Pb, Zn",L,,,solid,,,,,,1.8,,,1.0132511,268.pdf,{[PbZn(L) 2]·DMA·H2O}n (HMOF),{[PbZn(L) 2]·DMA·H2O}n (HMOF),,,,
566,Cu-BTC,Cu,H3BTC,,,solid,,,,,,4.6,,,1.0132511,268.pdf,Cu-BTC,Metal/BTC,,,,
567,Mg2(dobpdc) (1-en),Mg,H4dopdc,sonication and microwave irradiation,Toluene,solid,2.0,5.0,933.0,,,4.317200636219042,,313.0,1.0132511,269.pdf,Mg2(dobpdc) (1-en),Metal/dobpdc,,,,
568,Mg2(dobpdc) (1-men),Mg,H4dopdc,sonication and microwave irradiation,Toluene,solid,2.0,5.0,1036.0,,,3.953646898432175,,313.0,1.0132511,269.pdf,Mg2(dobpdc) (1-men),Metal/dobpdc,,,,
569,Mg2(dobpdc) (1-den),Mg,H4dopdc,sonication and microwave irradiation,Toluene,solid,2.0,5.0,840.0,,,2.7720972506248582,,313.0,1.0132511,269.pdf,Mg2(dobpdc) (1-den),Metal/dobpdc,,,,
570,Mg2(dobpdc)(1-nmen),Mg,H4dopdc,microwave-assisted synthesis,DMF/EtOH,powder,,18.0,812.0,1.49,,0.9088843444671666,97.0,313.0,0.15,270.pdf,Mg2(dobpdc)(1-nmen),Metal/dobpdc,,,,
571,Mg2(dobpdc)(1-een),Mg,H4dopdc,microwave-assisted synthesis,DMF/EtOH,powder,,18.0,1208.0,1.31,,1.36332651670075,98.0,313.0,0.15,270.pdf,Mg2(dobpdc)(1-een),Metal/dobpdc,,,,
572,Mg2(dobpdc)(1-ipen),Mg,H4dopdc,microwave-assisted synthesis,DMF/EtOH,powder,,18.0,1208.0,1.31,,1.249715973642354,98.0,313.0,0.15,270.pdf,Mg2(dobpdc)(1-ipen),Metal/dobpdc,,,,
573,MIL-101-NH2(Al),Al,NH2-BDC,post-synthetic impregnation,acetonitrile(MeCN),solid,,3.0,1570.0,3.4,,,,,,271.pdf,MIL-101,MIL,,,,
574,Mg2(dobpdc)(en),Mg,H4dopdc,solvothermal,DMF/EtOH,solid,2.0,72.0,1403.0,1.85,,1.05,,313.0,1.0,272.pdf,Mg2(dobpdc)(en),Metal/dobpdc,,,,
575,Mg2(dobpdc)(pn),Mg,H4dopdc,solvothermal,DMF/EtOH,solid,2.0,72.0,1296.0,1.85,,0.91,,313.0,1.0,272.pdf,Mg2(dobpdc)(pn),Metal/dobpdc,,,,
576,Mg2(dobpdc)(bn),Mg,H4dopdc,solvothermal,DMF/EtOH,solid,2.0,72.0,1358.0,1.85,,0.65,,313.0,,272.pdf,Mg2(dobpdc)(bn),Metal/dobpdc,,,,
577,Mg2(dobpdc)(pen),Mg,H4dopdc,solvothermal,DMF/EtOH,solid,2.0,72.0,1143.0,1.85,,0.67,,313.0,,272.pdf,Mg2(dobpdc)(pen),Metal/dobpdc,,,,
578,Mg2(dobpdc)(hn),Mg,H4dopdc,solvothermal,DMF/EtOH,solid,2.0,72.0,739.0,1.85,,0.34,,313.0,,272.pdf,Mg2(dobpdc)(hn),Metal/dobpdc,,,,
